CB Link ID,Borough,Community Board,Council District,Latitude,Longitude,Project Status,Street Address,Postcode,Link Site ID,Link Smoke Tested and Activated (A),Link Installation (A),Neighborhood Tabulation Area (NTA),Building Identification Number (BIN),Borough-Block-Lot (BBL),Census Tract (CT),Cross Street 1,Cross Street 2,IxN Corner,GF Permit Application ID,Location
LINK-000544,Manhattan,104,3,40.76380275,-73.98515741,Live,871 8 AVENUE,10019,mn-04-107675,05/21/2018 12:00:00 AM,04/07/2018 12:00:00 AM,Clinton,1025257,1010437501,1013300,WEST 52 STREET,WEST 53 STREET,MIDBLOCK,,"(40.76380275, -73.98515741)"
LINK-013778,Manhattan,106,4,40.75439185,-73.9691842,Live,251 EAST 49 STREET,10022,mn-06-121794,04/10/2018 12:00:00 AM,01/27/2018 12:00:00 AM,Turtle Bay-East Midtown,1038247,1013230121,1009800,2 AVENUE,3 AVENUE,SW,,"(40.75439185, -73.9691842)"
LINK-000937,Manhattan,107,6,40.77631103,-73.98193739,Live,2020 BROADWAY,10023,mn-07-121336,10/28/2016 12:00:00 AM,09/08/2016 12:00:00 AM,Lincoln Square,1029632,1011410013,1015300,WEST 69 STREET,WEST 70 STREET,NE,,"(40.77631103, -73.98193739)"
LINK-003483,Manhattan,107,7,40.795951,-73.968849,Live,801 AMSTERDAM AVENUE,10025,mn-07-108008,10/10/2016 12:00:00 AM,07/28/2016 12:00:00 AM,Upper West Side,1088438,1018527502,1018500,WEST 99 STREET,WEST 100 STREET,NE,,"(40.795951, -73.968849)"
LINK-000180,Manhattan,105,3,40.76467196,-73.98236264,Live,1725 BROADWAY,10019,mn-05-122532,07/19/2016 12:00:00 AM,05/14/2016 12:00:00 AM,Midtown-Midtown South,1078860,1010267502,1013700,WEST 55 STREET,WEST 54 STREET,NW,,"(40.76467196, -73.98236264)"
LINK-011105,Manhattan,104,3,40.74151493,-73.9939631,Live,655 6 AVENUE,10011,mn-04-135464,10/18/2018 12:00:00 AM,02/24/2018 12:00:00 AM,Hudson Yards-Chelsea-Flatiron-Union Square,1087522,1007967504,1008700,WEST 21 STREET,WEST 20 STREET,SW,,"(40.74151493, -73.9939631)"
LINK-010914,Manhattan,112,10,40.85225684,-73.93145198,Live,1516 ST. NICHOLAS AVENUE,10033,mn-12-120665,03/29/2018 12:00:00 AM,12/01/2017 12:00:00 AM,Washington Heights North,1063780,1021570039,1026900,WEST 185 STREET,WEST 186 STREET,SE,,"(40.85225684, -73.93145198)"
LINK-010177,Manhattan,106,5,40.75868871,-73.96558891,Live,1066 2 AVENUE,10022,mn-06-121769,04/04/2018 12:00:00 AM,10/28/2017 12:00:00 AM,Turtle Bay-East Midtown,1039976,1013490001,1010800,EAST 56 STREET,EAST 57 STREET,NE,,"(40.75868871, -73.96558891)"
LINK-002342,Brooklyn,303,36,40.679232,-73.927098,Live,1803 FULTON STREET,11233,bk-03-126644,11/09/2016 12:00:00 AM,10/27/2016 12:00:00 AM,Crown Heights North,3047930,3016950049,3038100,ROCHESTER AVENUE,SUMPTER STREET,NE,,"(40.679232, -73.927098)"
LINK-000849,Manhattan,108,4,40.772144,-73.958697,Live,1325 3 AVENUE,10021,mn-08-128748,03/24/2016 12:00:00 AM,03/05/2016 12:00:00 AM,Lenox Hill-Roosevelt Island,1044062,1014300046,1013400,EAST 76 STREET,EAST 75 STREET,SE,,"(40.772144, -73.958697)"
LINK-000111,Manhattan,105,3,40.76617479,-73.98198781,Live,1767 BROADWAY,10019,mn-05-122522,07/19/2016 12:00:00 AM,05/26/2016 12:00:00 AM,Midtown-Midtown South,1024899,1010280056,1013700,WEST 56 STREET,WEST 57 STREET,SW,,"(40.76617479, -73.98198781)"
LINK-005933,Manhattan,111,8,40.80263697,-73.93646798,Installed,2265 3 AVENUE,10035,mn-11-120248,,06/05/2018 12:00:00 AM,East Harlem North,1054630,1017880001,1019400,EAST 123 STREET,EAST 124 STREET,MIDBLOCK,,"(40.80263697, -73.93646798)"
LINK-001492,Manhattan,107,6,40.791401,-73.973822,Live,215 WEST 91 STREET,10025,mn-07-121254,07/07/2016 12:00:00 AM,06/24/2016 12:00:00 AM,Upper West Side,1033584,1012390023,1017900,BROADWAY,AMSTERDAM AVENUE,NE,,"(40.791401, -73.973822)"
LINK-000029,Brooklyn,301,33,40.71777024,-73.95786908,Live,182 BEDFORD AVENUE,11249,bk-01-140988,01/29/2019 12:00:00 AM,11/03/2017 12:00:00 AM,North Side-South Side,3062079,3023270022,3055300,NORTH 7 STREET,NORTH 6 STREET,SW,,"(40.71777024, -73.95786908)"
LINK-007637,Manhattan,106,4,40.755193,-73.968444,Live,949 2 AVENUE,10022,mn-06-107988,02/15/2018 12:00:00 AM,10/28/2017 12:00:00 AM,Turtle Bay-East Midtown,1038459,1013240124,1009800,EAST 50 STREET,EAST 51 STREET,W,,"(40.755193, -73.968444)"
LINK-007086,Manhattan,107,6,40.773657,-73.981404,Live,147 COLUMBUS AVENUE,10023,mn-07-120927,01/11/2017 12:00:00 AM,08/11/2016 12:00:00 AM,Lincoln Square,1075637,1011190001,1015300,WEST 66 STREET,WEST 67 STREET,NE,,"(40.773657, -73.981404)"
LINK-021931,Brooklyn,305,37,40.67789498,-73.90299005,Live,2460 FULTON STREET,11207,bk-05-145944,01/16/2018 12:00:00 AM,09/29/2017 12:00:00 AM,Ocean Hill,3042317,3015550001,3036700,SINDEREN AVENUE,VAN SINDEREN AVENUE,NE,81893,"(40.67789498, -73.90299005)"
LINK-010795,Manhattan,107,6,40.78707884,-73.97188144,Live,100 WEST 87 STREET,10024,mn-07-121259,04/11/2018 12:00:00 AM,02/08/2018 12:00:00 AM,Upper West Side,1085083,1012170035,1017300,AMSTERDAM AVENUE,COLUMBUS AVENUE,SE,,"(40.78707884, -73.97188144)"
LINK-001147,Queens,404,25,40.738208,-73.886253,Live,77-06 QUEENS BOULEVARD,11373,qu-04-132440,03/20/2017 12:00:00 AM,11/19/2016 12:00:00 AM,Elmhurst-Maspeth,4056456,4024520001,4047900,IRELAND STREET,HILLYER STREET,SE,,"(40.738208, -73.886253)"
LINK-019365,Brooklyn,303,36,40.678818,-73.949579,Live,545 NOSTRAND AVENUE,11216,bk-03-145843,05/31/2017 12:00:00 AM,05/06/2017 12:00:00 AM,Crown Heights North,3329718,3018670005,3024700,HERKIMER PLACE,ATLANTIC AVENUE,NE,81690,"(40.678818, -73.949579)"
LINK-008212,Manhattan,104,3,40.74341383,-74.00372466,Live,121 9 AVENUE,10011,mn-04-123517,05/08/2018 12:00:00 AM,10/28/2017 12:00:00 AM,Hudson Yards-Chelsea-Flatiron-Union Square,1078418,1007150010,1008300,WEST 18 STREET,WEST 17 STREET,SW,,"(40.74341383, -74.00372466)"
LINK-013673,Manhattan,108,5,40.76519297,-73.95806217,Live,1259 1 AVENUE,10065,mn-08-120952,12/20/2018 12:00:00 AM,04/23/2018 12:00:00 AM,Lenox Hill-Roosevelt Island,1086891,1014420015,1011800,EAST 68 STREET,EAST 67 STREET,SW,,"(40.76519297, -73.95806217)"
LINK-018224,Bronx,201,8,40.81359474,-73.93040028,Live,250 WALTON AVENUE,10451,bx-01-145821,05/16/2017 12:00:00 AM,04/15/2017 12:00:00 AM,West Concourse,2001020,2023440001,2006300,EAST 138 STREET,EAST 140 STREET,NE,81624,"(40.81359474, -73.93040028)"
LINK-000257,Manhattan,106,2,40.73642647,-73.98474973,Live,233 3 AVENUE,10003,mn-06-133440,02/01/2016 12:00:00 AM,01/29/2016 12:00:00 AM,Gramercy,1019602,1009000001,1006400,EAST 19 STREET,EAST 20 STREET,NE,,"(40.73642647, -73.98474973)"
LINK-002678,Manhattan,101,1,40.717828,-74.000962,Live,101 LAFAYETTE STREET,10013,mn-01-137165,09/06/2016 12:00:00 AM,08/01/2016 12:00:00 AM,SoHo-TriBeCa-Civic Center-Little Italy,1002356,1001970007,1003100,WALKER STREET,WHITE STREET,SE,,"(40.717828, -74.000962)"
LINK-021332,Queens,401,22,40.76227762,-73.91171708,Live,44-02 30 AVENUE,11103,qu-01-145948,10/23/2017 12:00:00 AM,09/16/2017 12:00:00 AM,Astoria,4012635,4007130081,4015100,44 STREET,45 STREET,SE,81872,"(40.76227762, -73.91171708)"
LINK-018095,Brooklyn,308,35,40.67403887,-73.95682638,Live,720 FRANKLIN AVENUE,11238,bk-08-146084,06/18/2018 12:00:00 AM,04/28/2018 12:00:00 AM,Crown Heights North,3029279,3011680051,3021700,PARK PLACE,STERLING PLACE,MIDBLOCK,81505,"(40.67403887, -73.95682638)"
LINK-001108,Queens,409,32,40.69756287,-73.8362804,Live,112-01 JAMAICA AVENUE,11418,qu-09-124784,07/31/2017 12:00:00 AM,05/20/2017 12:00:00 AM,Richmond Hill,4192681,4092260034,4013000,112 STREET,113 STREET,NE,,"(40.69756287, -73.8362804)"
LINK-000306,Manhattan,106,4,40.7488188,-73.97602629,Live,596 3 AVENUE,10016,mn-06-121519,04/25/2016 12:00:00 AM,03/24/2016 12:00:00 AM,Murray Hill-Kips Bay,1019148,1008940049,1008000,EAST 39 STREET,EAST 40 STREET,SW,,"(40.7488188, -73.97602629)"
LINK-001607,Manhattan,109,7,40.80464541,-73.96657376,Installed,2853 BROADWAY,10025,mn-09-134414,,02/14/2019 12:00:00 AM,Morningside Heights,1075440,1018947501,1019900,WEST 111 STREET,WEST 110 STREET,W,,"(40.80464541, -73.96657376)"
LINK-003015,Manhattan,103,2,40.73115701,-73.98592802,Live,193 2 AVENUE,10003,mn-03-115305,09/13/2016 12:00:00 AM,07/08/2016 12:00:00 AM,East Village,1006882,1004687501,1004000,EAST 12 STREET,EAST 13 STREET,NW,,"(40.73115701, -73.98592802)"
LINK-000698,Manhattan,106,4,40.76155923,-73.96839056,Live,139 EAST 58 STREET,10022,mn-06-143917,06/27/2017 12:00:00 AM,11/23/2016 12:00:00 AM,Turtle Bay-East Midtown,1086160,1013137501,1011203,LEXINGTON AVENUE,3 AVENUE,NE,,"(40.76155923, -73.96839056)"
LINK-012623,Manhattan,107,7,40.79599586,-73.97059943,Live,2600 BROADWAY,10025,mn-07-133639,04/20/2018 12:00:00 AM,03/14/2018 12:00:00 AM,Upper West Side,1082691,1018707502,1018700,WEST 98 STREET,WEST 99 STREET,NE,,"(40.79599586, -73.97059943)"
LINK-021162,Brooklyn,301,34,40.71643057,-73.96128653,Live,203 BERRY STREET,11249,bk-01-146002,02/01/2018 12:00:00 AM,11/22/2017 12:00:00 AM,North Side-South Side,3398167,3023517501,3055300,NORTH 3 STREET,NORTH 4 STREET,SE,81934,"(40.71643057, -73.96128653)"
LINK-018218,Bronx,201,8,40.81015856,-73.92788597,Live,197 LINCOLN AVENUE,10451,bx-01-145916,02/22/2018 12:00:00 AM,08/31/2017 12:00:00 AM,Mott Haven-Port Morris,2000780,2023180022,2005100,EAST 137 STREET,3 AVENUE,NW,81618,"(40.81015856, -73.92788597)"
LINK-001677,Manhattan,109,7,40.81881338,-73.95579589,Live,3300 BROADWAY,10031,mn-09-120412,06/14/2017 12:00:00 AM,04/07/2017 12:00:00 AM,Manhattanville,1059728,1019870001,1021900,WEST 133 STREET,WEST 134 STREET,NE,,"(40.81881338, -73.95579589)"
LINK-000638,Manhattan,105,2,40.74338446,-73.98203855,Live,142 LEXINGTON AVENUE,10016,mn-05-121481,04/14/2017 12:00:00 AM,01/28/2017 12:00:00 AM,Murray Hill-Kips Bay,1018247,1008850020,1007200,EAST 29 STREET,EAST 30 STREET,NW,,"(40.74338446, -73.98203855)"
LINK-021389,Queens,409,32,40.69467595,-73.84858743,Live,96-01 JAMAICA AVENUE,11421,qu-09-145883,08/09/2017 12:00:00 AM,07/15/2017 12:00:00 AM,Woodhaven,4182667,4088920071,4002200,97 STREET,96 STREET,MIDBLOCK,81793,"(40.69467595, -73.84858743)"
LINK-012216,Manhattan,105,3,40.7437055,-73.99208429,Live,750 6 AVENUE,10010,mn-05-138006,12/04/2017 12:00:00 AM,09/24/2017 12:00:00 AM,Hudson Yards-Chelsea-Flatiron-Union Square,1085951,1008260001,1005800,WEST 25 STREET,WEST 24 STREET,NE,,"(40.7437055, -73.99208429)"
LINK-000660,Manhattan,106,4,40.75013253,-73.9767944,Live,133 EAST 40 STREET,10017,mn-06-121377,06/21/2017 12:00:00 AM,04/15/2017 12:00:00 AM,Murray Hill-Kips Bay,1036147,1012950023,1008000,LEXINGTON AVENUE,3 AVENUE,NE,,"(40.75013253, -73.9767944)"
LINK-000344,Manhattan,106,4,40.75772905,-73.96961496,Live,164 EAST 53 STREET,10022,mn-06-121839,05/05/2017 12:00:00 AM,03/19/2017 12:00:00 AM,Turtle Bay-East Midtown,1036469,1013077501,1010000,3 AVENUE,LEXINGTON AVENUE,SW,,"(40.75772905, -73.96961496)"
LINK-012622,Manhattan,106,2,40.74206862,-73.97769449,Live,540 2 AVENUE,10016,mn-06-134834,06/13/2018 12:00:00 AM,05/12/2018 12:00:00 AM,Murray Hill-Kips Bay,1020632,1009350059,1007000,EAST 30 STREET,EAST 29 STREET,SE,,"(40.74206862, -73.97769449)"
LINK-001010,Brooklyn,302,33,40.69758777,-73.99302857,Live,106 HENRY STREET,11201,bk-02-125682,02/13/2017 12:00:00 AM,12/01/2016 12:00:00 AM,Brooklyn Heights-Cobble Hill,3335928,3002310001,3000501,CLARK STREET,PINEAPPLE STREET,NW,,"(40.69758777, -73.99302857)"
LINK-021068,Queens,402,26,40.747793,-73.950086,Live,10-58 45 AVENUE,11101,qu-02-146051,07/11/2018 12:00:00 AM,01/17/2018 12:00:00 AM,Hunters Point-Sunnyside-West Maspeth,4000419,4000500028,4000700,11 STREET,VERNON BOULEVARD,SW,82049,"(40.747793, -73.950086)"
LINK-000031,Brooklyn,306,39,40.67455551,-73.98193577,Live,270 5 AVENUE,11215,bk-06-125931,04/03/2017 12:00:00 AM,02/24/2017 12:00:00 AM,Park Slope-Gowanus,3020591,3009640036,3013300,GARFIELD PLACE,1 STREET,SW,,"(40.67455551, -73.98193577)"
LINK-018403,Bronx,207,14,40.86676519,-73.89780278,Live,2616 JEROME AVENUE,10468,bx-07-145933,11/03/2017 12:00:00 AM,09/16/2017 12:00:00 AM,Bedford Park-Fordham North,2014132,2031910020,2040100,EAST 193 STREET,EAST KINGSBRIDGE ROAD,SE,81647,"(40.86676519, -73.89780278)"
LINK-003239,Manhattan,103,2,40.726263,-73.989248,Live,72 2 AVENUE,10003,mn-03-123260,11/16/2016 12:00:00 AM,09/02/2016 12:00:00 AM,East Village,1006198,1004460001,1003800,EAST 4 STREET,EAST 5 STREET,NE,,"(40.726263, -73.989248)"
LINK-012120,Bronx,205,15,40.846169,-73.901951,Live,1831 WEBSTER AVENUE,10457,bx-05-138759,08/01/2017 12:00:00 AM,06/24/2017 12:00:00 AM,Mount Hope,2009388,2028920077,2023100,EAST 175 STREET,EAST 176 STREET,MIDBLOCK,,"(40.846169, -73.901951)"
LINK-012618,Manhattan,108,5,40.76126735,-73.96062004,Live,1126 1 AVENUE,10065,mn-08-135076,06/07/2018 12:00:00 AM,04/04/2018 12:00:00 AM,Lenox Hill-Roosevelt Island,1045288,1014560046,1010602,EAST 62 STREET,EAST 61 STREET,SE,,"(40.76126735, -73.96062004)"
LINK-000233,Manhattan,106,4,40.74828704,-73.97653468,Live,160 EAST 38 STREET,10016,mn-06-136202,03/18/2016 12:00:00 AM,02/06/2016 12:00:00 AM,Murray Hill-Kips Bay,1019099,1008930041,1008000,3 AVENUE,LEXINGTON AVENUE,SW,,"(40.74828704, -73.97653468)"
LINK-012790,Manhattan,106,4,40.75375106,-73.96597025,Live,400 EAST 50 STREET,10022,mn-06-137127,01/25/2019 12:00:00 AM,05/07/2018 12:00:00 AM,Turtle Bay-East Midtown,1040090,1013610049,1008603,1 AVENUE,BEEKMAN PLACE,SE,,"(40.75375106, -73.96597025)"
LINK-000070,Bronx,207,14,40.86264365,-73.90324404,Live,48 WEST FORDHAM ROAD,10468,bx-07-119564,09/15/2016 12:00:00 AM,08/13/2016 12:00:00 AM,Kingsbridge Heights,2014307,2031990021,2025300,GRAND AVENUE,DAVIDSON AVENUE,SE,,"(40.86264365, -73.90324404)"
LINK-002348,Brooklyn,316,37,40.678079,-73.908374,Live,2208 FULTON STREET,11233,bk-16-126638,01/17/2017 12:00:00 AM,12/22/2016 12:00:00 AM,Ocean Hill,3042262,3015520041,3036900,EASTERN PARKWAY,ROCKAWAY AVENUE,SW,,"(40.678079, -73.908374)"
LINK-001144,Queens,404,25,40.73720596,-73.88093968,Live,82-10 QUEENS BOULEVARD,11373,qu-04-142872,07/10/2017 12:00:00 AM,06/03/2017 12:00:00 AM,Elmhurst-Maspeth,4437425,4024750012,4047900,GOLDSMITH STREET,SIMONSON STREET,MIDBLOCK,,"(40.73720596, -73.88093968)"
LINK-000525,Manhattan,104,3,40.75587809,-73.99093285,Live,615 8 AVENUE,10018,mn-04-122075,04/11/2016 12:00:00 AM,03/12/2016 12:00:00 AM,Clinton,1013688,1007630042,1011500,WEST 40 STREET,WEST 39 STREET,SW,,"(40.75587809, -73.99093285)"
LINK-020492,Manhattan,106,4,40.75501502,-73.96827641,Live,944 2 AVENUE,10022,mn-06-121795,02/01/2019 12:00:00 AM,05/19/2018 12:00:00 AM,Turtle Bay-East Midtown,1085119,1013437503,1009800,EAST 50 STREET,EAST 51 STREET,NE,,"(40.75501502, -73.96827641)"
LINK-018064,Brooklyn,302,35,40.68454905,-73.97022462,Live,770 FULTON STREET,11238,bk-02-145753,03/24/2017 12:00:00 AM,03/02/2017 12:00:00 AM,Fort Greene,3321980,3020070014,3017900,ADELPHI STREET,CARLTON AVENUE,SW,81478,"(40.68454905, -73.97022462)"
LINK-010350,Manhattan,110,9,40.801938,-73.957067,Live,2070 FREDERICK DOUGLASS BOULEVARD,10026,mn-10-142858,08/07/2017 12:00:00 AM,06/30/2017 12:00:00 AM,Central Harlem South,1055106,1018280001,1021600,WEST 112 STREET,WEST 113 STREET,NE,,"(40.801938, -73.957067)"
LINK-010992,Manhattan,101,1,40.72287042,-74.00797977,Live,200 HUDSON STREET,10013,mn-01-145538,10/10/2017 12:00:00 AM,08/05/2017 12:00:00 AM,SoHo-TriBeCa-Civic Center-Little Italy,1002854,1002210030,1003300,DESBROSSES STREET,VESTRY STREET,NE,,"(40.72287042, -74.00797977)"
LINK-011149,Manhattan,110,9,40.82312447,-73.938202,Live,2538 ADAM CLAYTON POWELL JR. BOULEVARD,10039,mn-10-133684,09/22/2017 12:00:00 AM,08/25/2017 12:00:00 AM,Central Harlem North-Polo Grounds,1060534,1020330029,1023400,WEST 147 STREET,WEST 148 STREET,NW,,"(40.82312447, -73.938202)"
LINK-001594,Manhattan,107,7,40.80030025,-73.96783287,Live,2736 BROADWAY,10025,mn-07-134112,10/03/2017 12:00:00 AM,08/25/2017 12:00:00 AM,Upper West Side,1056600,1018760046,1019100,WEST 105 STREET,WEST 104 STREET,SE,,"(40.80030025, -73.96783287)"
LINK-010919,Manhattan,108,4,40.77760614,-73.96094657,Live,39 EAST 81 STREET,10028,mn-08-121040,05/17/2018 12:00:00 AM,02/03/2018 12:00:00 AM,Upper East Side-Carnegie Hill,1046668,1014930021,1014200,MADISON AVENUE,PARK AVENUE,NE,,"(40.77760614, -73.96094657)"
LINK-006027,Manhattan,111,8,40.79120304,-73.94478351,Live,1915 3 AVENUE,10029,mn-11-132876,06/15/2016 12:00:00 AM,05/21/2016 12:00:00 AM,East Harlem South,1052429,1016550045,1017000,EAST 106 STREET,EAST 105 STREET,SE,,"(40.79120304, -73.94478351)"
LINK-001363,Bronx,204,16,40.839445,-73.915848,Live,96 EAST 170 STREET,10452,bx-04-119157,09/15/2016 12:00:00 AM,06/09/2016 12:00:00 AM,West Concourse,2008083,2028420042,2022102,WALTON AVENUE,WYTHE PLACE,SE,,"(40.839445, -73.915848)"
LINK-010567,Brooklyn,309,35,40.66734613,-73.95080928,Live,900 NOSTRAND AVENUE,11225,bk-09-127716,04/28/2017 12:00:00 AM,03/11/2017 12:00:00 AM,Crown Heights South,3348092,3012890025,3032100,CARROLL STREET,PRESIDENT STREET,NW,,"(40.66734613, -73.95080928)"
LINK-012517,Manhattan,107,6,40.77544328,-73.98236687,Live,1995 BROADWAY,10023,mn-07-121323,10/06/2017 12:00:00 AM,06/17/2017 12:00:00 AM,Lincoln Square,1070358,1011397502,1015300,WEST 68 STREET,WEST 67 STREET,NW,,"(40.77544328, -73.98236687)"
LINK-019891,Queens,401,26,40.758221,-73.91723,Live,42-01 BROADWAY,11103,qu-01-145951,01/09/2018 12:00:00 AM,09/30/2017 12:00:00 AM,Astoria,4436925,4006920008,4015500,42 STREET,43 STREET,NE,81748,"(40.758221, -73.91723)"
LINK-010874,Manhattan,107,6,40.78633453,-73.97205515,Installed,80 WEST 86 STREET,10024,mn-07-121256,,02/21/2018 12:00:00 AM,Upper West Side,1031388,1011990061,1016900,COLUMBUS AVENUE,CENTRAL PARK WEST,SE,,"(40.78633453, -73.97205515)"
LINK-010787,Manhattan,108,5,40.76035998,-73.96166314,Live,351 EAST 60 STREET,10065,mn-08-121708,03/14/2018 12:00:00 AM,10/17/2017 12:00:00 AM,Lenox Hill-Roosevelt Island,1044204,1014350023,1011000,1 AVENUE,QUEENSBORO BRIDGE RAMP,NW,,"(40.76035998, -73.96166314)"
LINK-013525,Queens,401,22,40.76970698,-73.91667316,Live,33-10 ASTORIA BOULEVARD SOUTH,11103,qu-01-125163,06/12/2018 12:00:00 AM,03/09/2018 12:00:00 AM,Astoria,4009294,4006310026,4006501,33 STREET,34 STREET,SE,,"(40.76970698, -73.91667316)"
LINK-013161,Manhattan,110,9,40.818505,-73.941152,Live,2401 ADAM CLAYTON POWELL JR. BOULEVARD,10030,mn-10-137385,09/12/2017 12:00:00 AM,07/19/2017 12:00:00 AM,Central Harlem North-Polo Grounds,1060058,1020090001,1023000,WEST 140 STREET,WEST 141 STREET,NE,,"(40.818505, -73.941152)"
LINK-000973,Manhattan,107,6,40.78442303,-73.9797962,Installed,2239 BROADWAY,10024,mn-07-137051,,02/26/2018 12:00:00 AM,Upper West Side,1032645,1012270054,1016700,WEST 80 STREET,WEST 79 STREET,SW,,"(40.78442303, -73.9797962)"
LINK-021933,Brooklyn,316,37,40.67784547,-73.90590131,Live,41 SACKMAN STREET,11233,bk-16-145930,01/05/2018 12:00:00 AM,09/17/2017 12:00:00 AM,Ocean Hill,3042307,3015540001,3036700,FULTON STREET,HERKIMER STREET,SE,81908,"(40.67784547, -73.90590131)"
LINK-002067,Manhattan,109,7,40.82934138,-73.94764707,Live,576 WEST 150 STREET,10031,mn-09-120442,03/12/2018 12:00:00 AM,10/28/2017 12:00:00 AM,Hamilton Heights,1062124,1020810061,1023300,BROADWAY,AMSTERDAM AVENUE,SE,,"(40.82934138, -73.94764707)"
LINK-011824,Manhattan,110,9,40.81738064,-73.94252463,Live,201 WEST 138 STREET,10030,mn-10-119949,03/13/2017 12:00:00 AM,02/11/2017 12:00:00 AM,Central Harlem North-Polo Grounds,1060290,1020240029,1023000,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,NW,,"(40.81738064, -73.94252463)"
LINK-011251,Queens,403,21,40.74799093,-73.8820337,Live,37-99 84 STREET,11372,qu-03-139600,09/07/2017 12:00:00 AM,08/19/2017 12:00:00 AM,Jackson Heights,4036234,4014720036,4028100,ROOSEVELT AVENUE,37 AVENUE,NE,,"(40.74799093, -73.8820337)"
LINK-018071,Brooklyn,302,35,40.68219957,-73.9616482,Live,464 GRAND AVENUE,11238,bk-02-145793,05/19/2017 12:00:00 AM,03/06/2017 12:00:00 AM,Clinton Hill,3057641,3020140033,3020100,FULTON STREET,LEFFERTS PLACE,NW,81471,"(40.68219957, -73.9616482)"
LINK-003482,Manhattan,107,7,40.79554394,-73.96941887,Live,782 AMSTERDAM AVENUE,10025,mn-07-135581,08/07/2017 12:00:00 AM,06/30/2017 12:00:00 AM,Upper West Side,1056400,1018700030,1018700,WEST 98 STREET,WEST 99 STREET,NW,,"(40.79554394, -73.96941887)"
LINK-018103,Brooklyn,303,36,40.679506,-73.955431,Live,560 FRANKLIN AVENUE,11238,bk-03-145750,03/13/2017 12:00:00 AM,02/27/2017 12:00:00 AM,Clinton Hill,3057888,3020200058,3022700,ATLANTIC AVENUE,BREVOORT PLACE,NW,81513,"(40.679506, -73.955431)"
LINK-020767,Brooklyn,301,33,40.720111,-73.947627,Live,475 MANHATTAN AVENUE,11222,bk-01-145859,08/15/2017 12:00:00 AM,06/30/2017 12:00:00 AM,Greenpoint,3067788,3027120001,3049900,ECKFORD STREET,NEWTON STREET,MIDBLOCK,81760,"(40.720111, -73.947627)"
LINK-012881,Bronx,205,14,40.853881,-73.908662,Live,23 WEST BURNSIDE AVENUE,10453,bx-05-123185,01/12/2017 12:00:00 AM,12/06/2016 12:00:00 AM,University Heights-Morris Heights,2014160,2031930033,2025100,DAVIDSON AVENUE,GRAND AVENUE,NW,,"(40.853881, -73.908662)"
LINK-008296,Manhattan,103,2,40.72357993,-73.9883901,Live,19 1 AVENUE,10003,mn-03-115304,06/19/2017 12:00:00 AM,04/02/2017 12:00:00 AM,East Village,1006096,1004430036,1003602,EAST 1 STREET,EAST 2 STREET,NW,,"(40.72357993, -73.9883901)"
LINK-011397,Bronx,203,17,40.82364629,-73.91402994,Live,860 MELROSE AVENUE,10451,bx-03-118929,07/11/2018 12:00:00 AM,06/05/2018 12:00:00 AM,Morrisania-Melrose,2001490,2023820001,2014100,EAST 160 STREET,EAST 161 STREET,NE,,"(40.82364629, -73.91402994)"
LINK-001773,Bronx,207,14,40.867627,-73.89873,Live,26 WEST KINGSBRIDGE ROAD,10468,bx-07-119873,07/15/2016 12:00:00 AM,06/09/2016 12:00:00 AM,Kingsbridge Heights,2014457,2032050025,2026500,DAVIDSON AVENUE,GRAND AVENUE,SW,,"(40.867627, -73.89873)"
LINK-000025,Brooklyn,314,45,40.63213478,-73.94678067,Live,1591 FLATBUSH AVENUE,11210,bk-14-126509,06/18/2018 12:00:00 AM,03/04/2018 12:00:00 AM,Flatbush,3205905,3075580027,3078600,EAST 31 STREET,FLATBUSH AVENUE,NE,,"(40.63213478, -73.94678067)"
LINK-011180,Manhattan,106,4,40.74812083,-73.97360371,Live,733 2 AVENUE,10016,mn-06-134661,04/04/2018 12:00:00 AM,11/11/2017 12:00:00 AM,Turtle Bay-East Midtown,1020379,1009200030,1008800,EAST 39 STREET,EAST 40 STREET,NW,,"(40.74812083, -73.97360371)"
LINK-000501,Manhattan,104,3,40.74982748,-73.99552538,Live,301 WEST 30 STREET,10001,mn-04-108137,05/05/2016 12:00:00 AM,04/19/2016 12:00:00 AM,Hudson Yards-Chelsea-Flatiron-Union Square,1082392,1007540036,1010300,8 AVENUE,9 AVENUE,NW,,"(40.74982748, -73.99552538)"
LINK-014430,Queens,403,21,40.75748463,-73.86858881,Live,32-52 100 STREET,11369,qu-03-125430,02/28/2019 12:00:00 AM,04/28/2018 12:00:00 AM,East Elmhurst,4035112,4014290034,4036300,32 AVENUE,NORTHERN BOULEVARD,NW,,"(40.75748463, -73.86858881)"
LINK-000002,Brooklyn,301,34,40.70166753,-73.94248859,Live,15 DEBEVOISE STREET,11206,bk-01-138951,08/02/2017 12:00:00 AM,07/01/2017 12:00:00 AM,East Williamsburg,3071604,3031190027,3049100,GRAHAM AVENUE,BROADWAY,NW,,"(40.70166753, -73.94248859)"
LINK-012825,Brooklyn,317,40,40.652771,-73.94987,Live,1380 NOSTRAND AVENUE,11226,bk-17-127012,06/09/2017 12:00:00 AM,04/08/2017 12:00:00 AM,Prospect Lefferts Gardens-Wingate,3116689,3050850068,3082000,LINDEN BOULEVARD,LENOX ROAD,NW,,"(40.652771, -73.94987)"
